game_year,column,null_rate
2023,release_speed,0.0039
2024,release_speed,0.0036
2025,release_speed,0.0036
2023,release_spin_rate,0.015
2024,release_spin_rate,0.0084
2025,release_spin_rate,0.0061
2023,spin_axis,0.0151
2024,spin_axis,0.0084
2025,spin_axis,0.0061
2023,pfx_x,0.0039
2024,pfx_x,0.0036
2025,pfx_x,0.0038
2023,pfx_z,0.0039
2024,pfx_z,0.0036
2025,pfx_z,0.0036
2023,release_pos_x,0.0039
2024,release_pos_x,0.0036
2025,release_pos_x,0.0036
2023,release_pos_z,0.0039
2024,release_pos_z,0.0036
2025,release_pos_z,0.0036
2023,release_extension,0.0075
2024,release_extension,0.005
2025,release_extension,0.0037
2023,arm_angle,0.0115
2024,arm_angle,0.008
2025,arm_angle,0.0052
2023,plate_x,0.0041
2024,plate_x,0.0038
2025,plate_x,0.0037
2023,plate_z,0.0041
2024,plate_z,0.0038
2025,plate_z,0.0037
2023,delta_run_exp,0.0042
2024,delta_run_exp,0.0034
2025,delta_run_exp,0.0034
2023,estimated_woba_using_speedangle,0.7478
2024,estimated_woba_using_speedangle,0.7457
2025,estimated_woba_using_speedangle,0.7456
2023,bat_speed,1.0
2024,bat_speed,0.5547
2025,bat_speed,0.5363
