family,feature,stat,pct_change,lo_pct,hi_pct,p_boot,brown_forsythe_stat,brown_forsythe_p,theil_sen_slope_per_year,n_base,n_final,sig_fdr
CH,release_speed,sd,0.0,-21.80848287505967,28.03157700164871,0.999,,,,74,74,False
CH,release_speed,iqr,0.0,-34.37571674311959,56.615059613381526,0.967,,,,74,74,False
CH,ivb,sd,0.0,-20.187191619271445,24.79376766804105,0.994,,,,74,74,False
CH,ivb,iqr,0.0,-35.4209297153025,58.882603446748185,1.0,,,,74,74,False
CH,hb_arm,sd,0.0,-23.93268529890528,33.685920542645626,1.0,,,,74,74,False
CH,hb_arm,iqr,0.0,-53.60083044982703,118.26923076923079,0.985,,,,74,74,False
CH,release_spin_rate,sd,0.0,-20.748004815080098,27.864873454202737,0.995,,,,74,74,False
CH,release_spin_rate,iqr,0.0,-29.529655640968365,42.25617873941094,1.0,,,,74,74,False
CH,release_extension,sd,0.0,-18.28475952351279,22.94862360278102,1.0,,,,74,74,False
CH,release_extension,iqr,0.0,-33.33333333333338,50.000000000000114,1.0,,,,74,74,False
CH,release_pos_z,sd,0.0,-24.71660091410865,34.690041943873695,1.0,,,,74,74,False
CH,release_pos_z,iqr,0.0,-38.88394794190633,66.33919686541175,1.0,,,,74,74,False
CH,release_side_arm,sd,0.0,-20.569001728742315,25.208435341198637,0.999,,,,74,74,False
CH,release_side_arm,iqr,0.0,-32.0180761369443,47.66443123606939,0.984,,,,74,74,False
CH,arm_angle,sd,0.0,-22.69721981051235,29.388265324125328,0.991,,,,74,74,False
CH,arm_angle,iqr,0.0,-34.91641504271963,53.5776221193902,1.0,,,,74,74,False
CU,release_speed,sd,0.0,-24.33867785642756,31.108085038029877,1.0,,,,57,57,False
CU,release_speed,iqr,0.0,-37.04545454545452,58.82352941176462,1.0,,,,57,57,False
CU,ivb,sd,0.0,-19.260066170632008,22.385579532207107,0.981,,,,57,57,False
CU,ivb,iqr,0.0,-34.01666666666667,51.69325842696624,1.0,,,,57,57,False
CU,hb_arm,sd,0.0,-19.20119467058666,23.093058782159062,0.95,,,,57,57,False
CU,hb_arm,iqr,0.0,-36.066712204007295,58.16751700680268,0.958,,,,57,57,False
CU,release_spin_rate,sd,0.0,-22.29679203007862,29.359947210442783,1.0,,,,57,57,False
CU,release_spin_rate,iqr,0.0,-46.01284647945018,81.99711902304774,1.0,,,,57,57,False
CU,release_extension,sd,0.0,-20.04669695290907,23.109082397342252,1.0,,,,57,57,False
CU,release_extension,iqr,0.0,-33.333333333333336,50.0,1.0,,,,57,57,False
CU,release_pos_z,sd,0.0,-23.19782427604576,30.151046709054746,0.995,,,,57,57,False
CU,release_pos_z,iqr,0.0,-37.663402171598875,55.849150849151044,1.0,,,,57,57,False
CU,release_side_arm,sd,0.0,-23.64730500627398,31.96193385241709,0.994,,,,57,57,False
CU,release_side_arm,iqr,0.0,-30.311004784689,46.473847019122545,1.0,,,,57,57,False
CU,arm_angle,sd,0.0,-23.5017148384851,28.226936834268777,1.0,,,,57,57,False
CU,arm_angle,iqr,0.0,-47.80056340718105,85.71428571428565,1.0,,,,57,57,False
FC,release_speed,sd,0.0,-24.942516475269535,34.12554269971325,1.0,,,,65,65,False
FC,release_speed,iqr,0.0,-29.556818181818173,45.16129032258092,1.0,,,,65,65,False
FC,ivb,sd,0.0,-25.677563405624092,35.464248736706544,1.0,,,,65,65,False
FC,ivb,iqr,0.0,-52.728535353535314,103.33333333333337,1.0,,,,65,65,False
FC,hb_arm,sd,0.0,-23.84803474318815,32.26539574114451,0.961,,,,65,65,False
FC,hb_arm,iqr,0.0,-32.14285714285713,47.05882352941173,1.0,,,,65,65,False
FC,release_spin_rate,sd,0.0,-19.07750074382702,22.822557701767824,1.0,,,,65,65,False
FC,release_spin_rate,iqr,0.0,-30.85203854294307,43.8801973071386,1.0,,,,65,65,False
FC,release_extension,sd,0.0,-19.218195597620117,24.190682092515416,0.984,,,,65,65,False
FC,release_extension,iqr,0.0,-40.000000000000036,62.50000000000031,1.0,,,,65,65,False
FC,release_pos_z,sd,0.0,-18.362070808813787,22.06726775781946,1.0,,,,65,65,False
FC,release_pos_z,iqr,0.0,-29.92544073583716,42.313829787234056,1.0,,,,65,65,False
FC,release_side_arm,sd,0.0,-22.25942306354634,28.694119284813414,1.0,,,,65,65,False
FC,release_side_arm,iqr,0.0,-32.380952380952365,49.20780812324932,1.0,,,,65,65,False
FC,arm_angle,sd,0.0,-21.062495513573985,27.930674194590694,0.97,,,,65,65,False
FC,arm_angle,iqr,0.0,-35.89676514276282,52.806372549019464,0.972,,,,65,65,False
FF,release_speed,sd,0.0,-14.921665996991232,16.890595168961433,0.995,,,,252,252,False
FF,release_speed,iqr,0.0,-21.512742889327036,27.860900415953093,1.0,,,,252,252,False
FF,ivb,sd,0.0,-12.109124797174003,14.725735885541654,0.994,,,,252,252,False
FF,ivb,iqr,0.0,-21.428571428571487,26.9035532994925,1.0,,,,252,252,False
FF,hb_arm,sd,0.0,-12.104688190709362,13.634376185772817,1.0,,,,252,252,False
FF,hb_arm,iqr,0.0,-20.193452380952355,24.264705882352942,0.993,,,,252,252,False
FF,release_spin_rate,sd,0.0,-11.989402508162774,14.661234593306457,1.0,,,,252,252,False
FF,release_spin_rate,iqr,0.0,-18.47870580325362,25.50138379477016,0.989,,,,252,252,False
FF,release_extension,sd,0.0,-11.438112887282426,13.140849688550018,1.0,,,,252,252,False
FF,release_extension,iqr,0.0,-16.666666666666742,19.99999999999993,1.0,,,,252,252,False
FF,release_pos_z,sd,0.0,-14.406375642442113,16.770122661593444,0.985,,,,252,252,False
FF,release_pos_z,iqr,0.0,-20.004032258064342,25.4002026342454,0.984,,,,252,252,False
FF,release_side_arm,sd,0.0,-12.689403344546685,13.845146164070632,0.984,,,,252,252,False
FF,release_side_arm,iqr,0.0,-18.9471404527754,23.264602215508503,0.97,,,,252,252,False
FF,arm_angle,sd,0.0,-11.613081126124055,13.302578443297586,1.0,,,,252,252,False
FF,arm_angle,iqr,0.0,-21.462677620329803,26.027484916813933,0.999,,,,252,252,False
FS,release_speed,sd,0.0,-36.32015002306621,58.845821164041354,1.0,,,,33,33,False
FS,release_speed,iqr,0.0,-46.66935483870956,85.73809523809491,1.0,,,,33,33,False
FS,ivb,sd,0.0,-21.269499766162774,27.81079148153075,0.985,,,,33,33,False
FS,ivb,iqr,0.0,-43.868927125506076,76.57700892857139,1.0,,,,33,33,False
FS,hb_arm,sd,0.0,-36.94314572758582,57.79424683434095,0.996,,,,33,33,False
FS,hb_arm,iqr,0.0,-51.113095238095276,110.27027027026999,1.0,,,,33,33,False
FS,release_spin_rate,sd,0.0,-24.697335736969798,33.824058542740296,0.992,,,,33,33,False
FS,release_spin_rate,iqr,0.0,-38.42389233086907,54.78876489521197,1.0,,,,33,33,False
FS,release_extension,sd,0.0,-25.083147831729658,35.60542161116085,1.0,,,,33,33,False
FS,release_extension,iqr,0.0,-42.85714285714295,100.0,1.0,,,,33,33,False
FS,release_pos_z,sd,0.0,-25.154577865718174,32.81440478527107,0.979,,,,33,33,False
FS,release_pos_z,iqr,0.0,-47.37468671679192,90.90909090909133,1.0,,,,33,33,False
FS,release_side_arm,sd,0.0,-32.270441026772176,47.23681308440487,1.0,,,,33,33,False
FS,release_side_arm,iqr,0.0,-65.11837209302323,185.41590909090866,1.0,,,,33,33,False
FS,arm_angle,sd,0.0,-28.94380518018687,38.56442700819346,0.96,,,,33,33,False
FS,arm_angle,iqr,0.0,-52.56619937694703,97.20328282828298,1.0,,,,33,33,False
SI,release_speed,sd,0.0,-22.06743586579874,28.580844346178225,1.0,,,,127,127,False
SI,release_speed,iqr,0.0,-30.985915492957616,44.149236192714866,1.0,,,,127,127,False
SI,ivb,sd,0.0,-21.808340474293782,27.961932878239974,1.0,,,,127,127,False
SI,ivb,iqr,0.0,-26.05133357690903,38.72886560693639,1.0,,,,127,127,False
SI,hb_arm,sd,0.0,-32.430652241872224,45.670704776274285,1.0,,,,127,127,False
SI,hb_arm,iqr,0.0,-25.53191489361698,32.00882352941174,1.0,,,,127,127,False
SI,release_spin_rate,sd,0.0,-14.628160409642433,17.810755623726827,1.0,,,,127,127,False
SI,release_spin_rate,iqr,0.0,-29.11006032424281,40.82654636964169,1.0,,,,127,127,False
SI,release_extension,sd,0.0,-16.431367055926064,18.543890810146998,0.988,,,,127,127,False
SI,release_extension,iqr,0.0,-28.586309523809543,44.469696969696855,1.0,,,,127,127,False
SI,release_pos_z,sd,0.0,-40.67697664212162,69.72883204167731,1.0,,,,127,127,False
SI,release_pos_z,iqr,0.0,-31.549369747899124,50.588961510529806,0.998,,,,127,127,False
SI,release_side_arm,sd,0.0,-18.634093950511083,23.708086637084183,1.0,,,,127,127,False
SI,release_side_arm,iqr,0.0,-28.628408519798416,37.734509466437125,0.949,,,,127,127,False
SI,arm_angle,sd,0.0,-34.30899135743151,55.3889243945166,1.0,,,,127,127,False
SI,arm_angle,iqr,0.0,-31.790207326892084,41.73410701928286,0.986,,,,127,127,False
SLV,release_speed,sd,0.0,-15.402459159645465,18.992602101632528,1.0,,,,200,200,False
SLV,release_speed,iqr,0.0,-24.24263066633638,33.07417261318832,1.0,,,,200,200,False
SLV,ivb,sd,0.0,-12.664891710126675,14.224627689061952,1.0,,,,200,200,False
SLV,ivb,iqr,0.0,-17.206011730205294,20.00173010380624,0.984,,,,200,200,False
SLV,hb_arm,sd,0.0,-9.06968203253923,10.00421698402156,1.0,,,,200,200,False
SLV,hb_arm,iqr,0.0,-23.598657750255363,28.03043831168831,1.0,,,,200,200,False
SLV,release_spin_rate,sd,0.0,-12.732218023563762,14.455163743833626,0.989,,,,200,200,False
