game_year,window,family,n_pitchers,spin_sd,spin_iqr
2023,full_season,CH,237,267.65390888822316,398.5
2023,full_season,CU,173,269.10494895403286,355.0
2023,full_season,FC,162,184.077171112695,244.125
2023,full_season,FF,502,137.5405436043534,179.5
2023,full_season,FS,45,290.2527025078859,463.0
2023,full_season,SI,284,139.59382563798601,173.875
2023,full_season,SLV,446,237.0655050124354,311.875
2023,post_enforcement,CH,237,267.65390888822316,398.5
2023,post_enforcement,CU,173,269.10494895403286,355.0
2023,post_enforcement,FC,162,184.077171112695,244.125
2023,post_enforcement,FF,502,137.5405436043534,179.5
2023,post_enforcement,FS,45,290.2527025078859,463.0
2023,post_enforcement,SI,284,139.59382563798601,173.875
2023,post_enforcement,SLV,446,237.0655050124354,311.875
2025,full_season,CH,226,291.9110638257381,395.125
2025,full_season,CU,190,265.9634524926709,329.375
2025,full_season,FC,169,178.31733918435918,234.0
2025,full_season,FF,499,140.07399415753358,181.0
2025,full_season,FS,77,334.6374371930839,447.5
2025,full_season,SI,296,136.44905123871004,185.0
2025,full_season,SLV,449,239.48430003947922,328.0
2025,post_enforcement,CH,226,291.9110638257381,395.125
2025,post_enforcement,CU,190,265.9634524926709,329.375
2025,post_enforcement,FC,169,178.31733918435918,234.0
2025,post_enforcement,FF,499,140.07399415753358,181.0
2025,post_enforcement,FS,77,334.6374371930839,447.5
2025,post_enforcement,SI,296,136.44905123871004,185.0
2025,post_enforcement,SLV,449,239.48430003947922,328.0
