family,game_year,n_pitchers,log_det,participation_ratio,pcs_90,entropy_nats
CH,2023,237,-1.8617402222278638,4.491509397737411,6.0,10.420638154523449
CH,2024,213,-1.5596069568349407,4.470925912583956,6.0,10.571704787219911
CH,2025,226,-1.6993680692821869,4.686309896590203,6.0,10.501824230996288
CU,2023,173,-1.6053184307382853,4.707810290440598,6.0,10.548849050268238
CU,2024,175,-1.99579349154752,4.813437467008697,6.0,10.353611519863621
CU,2025,190,-2.138739127079877,4.733035774043887,6.0,10.282138702097443
FC,2023,162,-0.24217597851639838,5.283978227281867,6.0,11.230420276379181
FC,2024,161,-0.24409682805395017,5.236108181658374,6.0,11.229459851610406
FC,2025,169,-0.8748635853388174,5.42706302200558,6.0,10.914076472967972
FF,2023,502,-1.9937736384660498,3.988745026052589,6.0,10.354621446404357
FF,2024,487,-1.7658560176007119,4.040499597181322,6.0,10.468580256837026
FF,2025,499,-1.794258999609771,3.959311728393033,6.0,10.454378765832496
FS,2023,45,-3.469805583764721,4.220174293564098,5.0,9.61660547375502
FS,2024,59,-1.8345836478509407,4.054135624704288,5.0,10.43421644171191
FS,2025,77,-1.758617117190265,4.034238356169094,5.0,10.472199707042249
SI,2023,284,-0.929020535996402,3.5149884023331897,6.0,10.886997997639181
SI,2024,289,-0.77614778654029,3.9726170305410644,6.0,10.963434372367237
SI,2025,296,-1.1805805488740315,3.961066571506457,6.0,10.761217991200365
SLV,2023,446,-1.4727413898270816,3.9487443825559563,6.0,10.61513757072384
SLV,2024,449,-1.6691990292903636,4.151997951821816,6.0,10.516908750992199
SLV,2025,449,-1.8039233674067958,4.191701119794007,6.0,10.449546581933983
