family,game_year,n_pitchers,mean_nn_dist,median_nn_dist,mean_k10_dist
CH,2024,213,1.490397927920961,1.420563513230456,1.9799538511099388
CH,2025,226,1.4919409942368924,1.4157741625194595,1.9421124579480025
CU,2024,175,1.5338976226048284,1.5187476064701027,2.0260111048453058
CU,2025,190,1.4926159287956637,1.4251085155761496,1.9942692773175044
FC,2024,161,1.763074355458084,1.6425249267746127,2.265770455627704
FC,2025,169,1.6850858032931602,1.5940066737898755,2.175764714884516
FF,2024,487,1.359491407164202,1.2788261081448304,1.7620282726881107
FF,2025,499,1.3504751145823526,1.2406563356980933,1.7587706804828211
FS,2024,59,1.7601465758194839,1.6801425686572466,2.3684882620433183
FS,2025,77,1.6857567342071387,1.6053457872448769,2.3101862873836594
SI,2024,289,1.4553643579115294,1.2848378697706189,1.930096033361068
SI,2025,296,1.45218136950241,1.282568950368169,1.902048999007333
SLV,2024,449,1.3305496985770116,1.2418422115821555,1.74634474613678
SLV,2025,449,1.3185057055223384,1.2026044787385384,1.7368477847221184
