year_pair,series,n,mean_cosine,median_cosine,frac_toward_centre
2021->2022,year_over_year,494,0.16428730359212676,0.18682536128944538,0.6396761133603239
2021->2022,within_year_null,876,0.033128511383610934,0.035752494501347556,0.5342465753424658
2022->2023,year_over_year,504,0.15533332293256086,0.16015260866624456,0.6686507936507936
2022->2023,within_year_null,863,0.030521162813901465,0.030918565264861603,0.52954808806489
2023->2024,year_over_year,519,0.11992594947500976,0.13195409017664034,0.6127167630057804
2023->2024,within_year_null,918,0.021957954356388868,-0.001828890045897267,0.4989106753812636
2024->2025,year_over_year,505,0.11540159352241679,0.15637930225783267,0.6237623762376238
2024->2025,within_year_null,898,0.02040819365992131,0.02371145766586374,0.5311804008908686
2025->2026,year_over_year,560,0.1817413942285658,0.21348475637954412,0.6892857142857143
2025->2026,within_year_null,898,0.06021970065827103,0.06183493367509532,0.566815144766147
