family,game_year,n_newcomers,n_established,newcomer_dist,established_dist,pct_further
CH,2022,50,186,2.8881757732560853,2.675280238506464,7.957877895755527
CH,2023,47,190,2.7165053806423276,2.7655100829009482,-1.771995067442167
CH,2024,31,182,2.4588657779629504,2.857591307296141,-13.95320346598009
CH,2025,33,193,2.839135475655313,2.713583506448595,4.626795855309229
CU,2022,48,159,2.966626149115687,2.774727613501765,6.915941394757019
CU,2023,30,143,2.789218935771362,2.8173134936886925,-0.9972109238204241
CU,2024,24,151,2.6465767072600994,2.748394492502724,-3.7046277570549235
CU,2025,33,157,2.4793176675432105,2.795308139520601,-11.304316240125978
FC,2022,33,109,2.4679758756782966,2.6876053216991638,-8.171938202667818
FC,2023,29,133,2.916125210028089,2.6867014511144536,8.539235307237792
FC,2024,22,139,2.4956708364663087,2.804637201067394,-11.016268502874393
FC,2025,25,144,2.3950515364700338,2.692257410984366,-11.039281507843102
FF,2022,142,339,2.902215644079951,2.7459125190501954,5.6922106565805874
FF,2023,126,376,2.683423993141452,2.7571519897363124,-2.674063557951023
FF,2024,105,382,2.5077645537518967,2.8386909883928344,-11.657712515876783
FF,2025,102,397,2.901318100231235,2.7710551552822325,4.700842734966626
SI,2022,71,217,2.9017428793419726,2.929219649774619,-0.9380235597818753
SI,2023,57,227,2.6230720812274013,2.867343632887478,-8.51908884789263
SI,2024,36,253,2.186923915606557,2.8512781235439264,-23.300224641418943
SI,2025,42,254,2.511722411843243,2.748666217002618,-8.62031932774141
SLV,2022,110,303,2.8671258721362802,2.869413944275486,-0.07974005088288161
SLV,2023,96,350,2.775899062586783,2.876768281792851,-3.506337991991637
SLV,2024,94,355,2.4359963828211844,2.8722169054902484,-15.187589831228543
SLV,2025,86,363,2.6902418994576065,2.818218075828264,-4.541031706109033
