game_year,pitch_type,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share
2021,CH,79907,11621,40825,7800,19421,15824,31625,164.759,79907,6482.724093241778,21823,28.46540110226577,24.30450398588359,39.57725856307958,-0.20618844406622697,0.297059253688392,11.27995844144111
2021,CS,152,17,71,17,34,30,54,6.19,152,12.243860135888502,41,23.943661971830984,22.36842105263158,35.526315789473685,-4.072368421052632,0.29863073502167076,0.021456864643886627
2021,CU,51815,6342,20798,9796,16138,7459,22316,64.04299999999998,51815,3225.82266473115,11806,30.493316665063947,31.145421210074304,43.068609476020455,-0.12359934381935728,0.27323586860335,7.314391062651222
2021,FC,51421,5816,25926,7713,13529,9419,25323,-100.09400000000001,51421,4191.685445280922,12992,22.433078762632107,26.310262344178447,49.24641683358939,0.19465587989342878,0.3226358871059823,7.258772610876936
2021,FF,252068,23364,120858,44597,67961,40806,137300,300.35299999999995,252068,21426.885264377164,61356,19.331777788810008,26.961375501848707,54.46942888426933,-0.11915554532903817,0.3492223297538491,35.58282208588957
2021,FS,11448,2118,5923,873,2991,1901,4060,-42.255,11447,800.7848036324867,3211,35.75890595981766,26.12683438155136,35.46470999301188,0.36913601817069974,0.24938797995406004,1.6160407002843034
2021,KC,16097,2197,6764,2871,5068,2299,6850,-26.640000000000004,16097,992.7200303867855,3827,32.480780603193374,31.484127477169658,42.55451326334099,0.1654966763993291,0.25939901499524054,2.272310198504231
2021,SI,108132,6901,49238,22082,28983,21967,57569,24.663999999999984,108131,10090.185227161564,29116,14.015597709086478,26.803351459327487,53.239559057448304,-0.02280937011587795,0.34655121675922396,15.264300576794401
2021,SL,117861,19234,56868,17246,36480,18805,51894,-286.221,117860,8369.729902526266,30371,33.82218470844764,30.951714307531752,44.02983175096088,0.24284829458679788,0.2755829542170579,16.63768107758633
2021,ST,16640,2709,7685,2830,5539,2439,7292,-104.303,16640,1026.970381835056,4297,35.250487963565384,33.28725961538461,43.82211538461539,0.6268209134615385,0.2389970634943114,2.348962024172852
2021,SV,2857,395,1245,552,947,417,1306,-17.91,2857,170.07202132649974,699,31.72690763052209,33.146657332866646,45.71228561428072,0.6268813440672033,0.2433076127703859,0.40330435715515855
2022,CH,79126,11489,40322,7703,19192,15640,30692,123.90300000000008,79124,6257.649324794063,21689,28.493130301076334,24.254985718979857,38.78876728256199,-0.1565934482584299,0.2885171895796977,11.203681415929204
2022,CS,107,9,45,15,24,22,42,3.394,107,8.442006493506494,25,20.0,22.429906542056074,39.25233644859813,-3.17196261682243,0.3376802597402597,0.015150442477876107
2022,CU,51793,6121,21045,10232,16353,7543,22610,28.46700000000003,51792,3145.2215333118625,11623,29.08529341886434,31.573764794470296,43.65454791187998,-0.054964087117701635,0.27060324643481565,7.333522123893805
2022,FC,53226,5770,26702,8155,13925,9986,26481,-12.50299999999996,53226,4341.941495733647,13363,21.60886824956932,26.16202607748093,49.7520009018149,0.023490399428850485,0.32492265926316294,7.536424778761062
2022,FF,235130,21580,113972,40627,62207,38536,127077,288.56600000000014,235130,19759.63030350867,57595,18.9344751342435,26.45642835878025,54.04542168162293,-0.12272615149066479,0.3430789183698007,33.29274336283186
2022,FS,11342,2080,6083,818,2898,2023,4113,-54.14499999999999,11342,785.6787740614968,3333,34.193654446819004,25.55104919767237,36.2634456004232,0.4773849409275259,0.23572720493894295,1.6059469026548672
2022,KC,16416,2244,7193,2908,5152,2577,7130,-10.42499999999999,16416,1078.978023161224,4068,31.196997080494924,31.38401559454191,43.43323586744639,0.06350511695906427,0.26523550225202164,2.3243893805309734
2022,SI,109303,6613,50518,22841,29454,22959,58945,-47.539999999999914,109301,10289.30403472379,29825,13.090383625638387,26.94711032634054,53.92807150764389,0.0434945700405302,0.34498923838135087,15.476530973451327
2022,SL,114735,18539,56105,16365,34904,18879,50552,-223.87199999999993,114734,8086.745541489092,29453,33.043400766420106,30.42140584825903,44.05978995075609,0.1951226314780274,0.2745644091090582,16.24566371681416
