pitch_type,2023,2024,2025,max_abs_yoy_change
,0.414,0.376,0.368,0.038
CH,10.692,10.18,10.275,0.512
CS,0.005,0.009,0.056,0.047
CU,6.068,6.148,6.654,0.506
EP,0.003,0.081,0.139,0.078
FA,0.306,0.089,0.126,0.217
FC,8.676,8.176,7.5,0.676
FF,32.412,31.733,31.763,0.679
FO,0.095,0.021,0.105,0.084
FS,2.139,3.076,3.265,0.937
KC,2.039,1.736,1.781,0.303
KN,0.0,0.148,0.019,0.148
PO,0.003,0.008,0.008,0.005
SC,0.015,0.021,0.001,0.02
SI,14.216,15.718,15.463,1.502
SL,15.808,14.659,14.336,1.149
ST,6.46,7.302,7.643,0.842
SV,0.648,0.519,0.497,0.129
UN,0.0,0.0,0.002,0.002
