outcome,decile,n,mean,lo,hi
whiff_pct,1,547,23.18460804880631,22.468370769812374,23.852075969887427
whiff_pct,2,561,23.281820800106768,22.670928603832984,23.944450983135496
whiff_pct,3,557,23.585681621038706,22.893528759695247,24.274544621816943
whiff_pct,4,560,23.88676253273048,23.130889213419824,24.551732596013068
whiff_pct,5,562,23.557567416012706,22.841384009055215,24.280342165613376
whiff_pct,6,558,24.038256639880196,23.334578692903776,24.766032982585727
whiff_pct,7,558,23.829089781459807,23.090469828307647,24.48167161712926
whiff_pct,8,559,23.975848596834247,23.28523587402909,24.766790790668274
whiff_pct,9,559,24.520347008321135,23.79549755787375,25.29683904900371
whiff_pct,10,567,24.489777349878725,23.73201621207365,25.25869980762146
csw_pct,1,547,27.358219707946244,27.054557465971822,27.63830070944228
csw_pct,2,561,27.381198234031338,27.115086804647852,27.665709712985173
csw_pct,3,557,27.461904674746943,27.18582693214375,27.753209725854347
csw_pct,4,560,27.486649960898582,27.222166754393722,27.77190952316613
csw_pct,5,562,27.53350989627889,27.280741753383534,27.787057406809115
csw_pct,6,558,27.72815448167058,27.429534278585205,27.99897708045203
csw_pct,7,558,27.939033674624596,27.68714853888665,28.26377711582405
csw_pct,8,559,27.67834204431367,27.402839294906556,27.93726297022438
csw_pct,9,559,28.103200648917507,27.780852970723398,28.37790306343546
csw_pct,10,567,27.99669827105179,27.68499200495116,28.292058242355687
rv100,1,547,0.08511910943740252,0.05102597053454951,0.1164878943189046
rv100,2,561,0.08377251668207589,0.05087309780943016,0.11332748498215242
rv100,3,557,0.0837513278887826,0.05372917685344717,0.11208108725789313
rv100,4,560,0.10786232366659558,0.07752713678118284,0.14309819256555453
rv100,5,562,0.1165790320324637,0.09245506553727723,0.14276217506956151
rv100,6,558,0.1047396129874225,0.0763388686050956,0.13541518861349508
rv100,7,558,0.12851907254522266,0.09456832901909445,0.15963379749504472
rv100,8,559,0.12819154763305746,0.10230823692823797,0.15662448883078514
rv100,9,559,0.11022673514251272,0.08377959433583719,0.1364345601403736
rv100,10,567,0.11722486205087487,0.0906020559687484,0.14552604515918224
xwobacon,1,547,0.3144211187151764,0.3111832725055915,0.31728915566101296
xwobacon,2,561,0.3149520019444294,0.31225118345282116,0.3184302104463674
xwobacon,3,557,0.3149982299813789,0.31190990633918303,0.3178232892094638
xwobacon,4,560,0.3123094602407511,0.3094207301505128,0.31560009991282384
xwobacon,5,562,0.31326711999943085,0.31030388791004176,0.31649488439879764
xwobacon,6,558,0.31122578634410303,0.3079220724761457,0.31450079943917836
xwobacon,7,558,0.3117859774718529,0.30864200144761816,0.3149941635575903
xwobacon,8,559,0.3109633678882124,0.3079773110451116,0.3144612401833297
xwobacon,9,559,0.30942404377431765,0.30620370152804566,0.3126895202938613
xwobacon,10,567,0.30937838320709543,0.3061742882769359,0.3126253951972099
