pitcher,player_name,family,game_year,pitches,uniq_maha,uniq_knn,uniq_pct,uniq_decile,whiff_pct_eb,csw_pct_eb,rv100_eb,xwobacon_eb
642207,"Yelich, Christian",CH,2025,181,7.5994,4.6344,1.0,10.0,30.5883,27.6055,0.7565,0.2861
445276,"Vaughn, Andrew",FC,2025,196,9.6702,4.8982,1.0,10.0,19.963,27.1935,0.926,0.3334
543243,"Wallner, Matt",FF,2025,158,9.3794,3.8127,1.0,10.0,16.6379,27.604,0.8922,0.3923
679358,"Story, Trevor",FS,2025,137,8.0159,3.214,1.0,10.0,25.2409,23.2409,0.7193,0.2605
663893,"Cowser, Colton",CU,2025,177,5.9789,3.8742,1.0,10.0,53.81,34.7434,-0.1035,0.2673
642232,"Ortiz, Joey",SLV,2025,109,7.5591,4.5208,1.0,10.0,32.9514,30.8289,0.5754,0.2762
643511,"Steer, Spencer",SI,2025,189,23.1093,14.9896,1.0,10.0,16.0063,29.2887,0.4803,0.3412
669467,"Buxton, Byron",FF,2025,447,8.6886,3.1147,0.996,10.0,15.5289,26.2882,0.2691,0.3732
571948,"Bregman, Alex",SLV,2025,133,6.9906,5.3181,0.995,10.0,22.6248,31.3744,0.5754,0.2795
657612,"Collins, Isaac",SI,2025,232,8.976,7.6015,0.9921,10.0,11.3198,26.5104,0.3805,0.3412
608718,"Wade Jr., LaMonte",FF,2025,158,8.3232,5.1453,0.9921,10.0,15.25,25.6978,1.31,0.3409
657044,"Crow-Armstrong, Pete",SLV,2025,141,6.9539,5.2236,0.99,10.0,29.0836,30.2102,0.5754,0.2802
592866,"Giménez, Andrés",FF,2025,292,7.0084,4.5867,0.9881,10.0,13.3262,26.87,-0.2849,0.3372
689690,"Olson, Matt",CH,2025,134,7.4329,7.1125,0.9865,10.0,25.9857,27.5945,-0.0025,0.3043
676664,"Moore, Dylan",SLV,2025,342,5.7821,3.2597,0.985,10.0,23.7962,34.4445,0.5754,0.2782
676534,"Reynolds, Bryan",FC,2025,119,6.4692,4.0426,0.9846,10.0,19.7687,26.997,1.0878,0.3334
657044,"Hoerner, Nico",SI,2025,153,8.311,6.2513,0.9843,10.0,19.5723,30.1524,0.2558,0.3412
689690,"Ozuna, Marcell",FF,2025,156,6.8823,5.5364,0.9841,10.0,22.159,28.1263,0.3321,0.327
664208,"France, Ty",CU,2025,103,5.2428,3.9046,0.9825,10.0,33.5499,32.5691,-0.1035,0.2673
683409,"Mead, Curtis",FF,2025,218,6.8334,3.0812,0.9802,10.0,15.4189,25.9109,-0.5827,0.3775
592866,"Kirk, Alejandro",SLV,2025,319,5.4004,3.3232,0.98,10.0,27.3585,30.0488,0.5754,0.2762
623352,"Soto, Juan",SI,2025,190,8.0616,4.2026,0.9764,10.0,22.0936,29.2232,0.361,0.3412
663372,"Mangum, Jake",FF,2025,174,5.9859,2.5855,0.9762,10.0,16.8349,26.2548,0.0107,0.3348
681982,"Fermin, Freddy",SLV,2025,167,5.2263,3.8932,0.975,10.0,31.3959,30.8653,0.5754,0.2769
671106,"Gurriel, Yuli",CH,2025,120,6.9984,5.3952,0.973,10.0,27.1826,21.5597,-0.1612,0.2967
519151,"Pages, Andy",FF,2025,105,5.9177,3.0923,0.9722,10.0,14.9268,27.3862,0.219,0.3543
682171,"O'Hoppe, Logan",SLV,2025,114,5.0827,4.4449,0.97,10.0,32.5752,30.2673,0.5754,0.2822
669302,"Andujar, Miguel",FS,2025,107,7.523,4.8573,0.9697,10.0,44.5743,27.4886,0.9411,0.2191
668933,"Lee, Jung Hoo",FC,2025,236,5.9189,4.889,0.9692,10.0,19.6861,26.1467,-0.2141,0.3334
642585,"Giménez, Andrés",SI,2025,143,7.1004,6.5536,0.9685,10.0,11.9972,25.6597,0.2254,0.3412
690990,"Alonso, Pete",FF,2025,120,5.3524,2.9133,0.9683,10.0,13.5061,25.9718,0.3748,0.3164
