cell_id,family,velo_lo,ivb_lo,hb_lo,usage_start_pct,usage_end_pct,usage_change_pct_rel,rv100_rel_end,csw_rel_end,pitches_end
FC|43|1|-2,FC,86.0,4.0,-8.0,0.288,0.179,-37.897,0.951,0.507,1264
FC|44|1|-2,FC,88.0,4.0,-8.0,0.314,0.196,-37.457,0.376,-1.764,1388
CH|43|2|4,CH,86.0,8.0,16.0,0.148,0.094,-36.971,0.545,-4.833,662
SLV|39|-1|-5,SLV,78.0,-4.0,-20.0,0.133,0.084,-36.565,0.345,6.049,596
SI|44|2|3,SI,88.0,8.0,12.0,0.156,0.1,-35.91,0.727,3.168,708
CH|42|2|4,CH,84.0,8.0,16.0,0.162,0.106,-34.594,1.15,-2.174,751
SI|45|2|4,SI,90.0,8.0,16.0,0.329,0.222,-32.519,0.204,2.131,1571
CH|43|2|3,CH,86.0,8.0,12.0,0.274,0.188,-31.286,0.697,-2.528,1334
SI|45|2|3,SI,90.0,8.0,12.0,0.527,0.381,-27.711,0.167,0.293,2696
CH|40|1|3,CH,80.0,4.0,12.0,0.139,0.101,-27.369,0.718,-5.912,714
SI|46|2|4,SI,92.0,8.0,16.0,0.608,0.451,-25.757,0.757,1.119,3194
FC|44|0|-2,FC,88.0,0.0,-8.0,0.134,0.101,-24.745,0.565,2.673,713
FC|44|2|-2,FC,88.0,8.0,-8.0,0.17,0.129,-23.79,0.862,1.184,915
SLV|41|-1|-1,SLV,82.0,-4.0,-4.0,0.289,0.222,-23.322,0.627,4.336,1569
FC|43|2|-2,FC,86.0,8.0,-8.0,0.11,0.086,-21.826,0.343,0.2,610
SI|47|3|4,SI,94.0,12.0,16.0,0.122,0.097,-20.521,0.384,1.917,687
FF|45|2|2,FF,90.0,8.0,8.0,0.088,0.071,-20.132,0.084,-2.541,500
SI|45|1|4,SI,90.0,4.0,16.0,0.343,0.281,-18.062,0.038,1.597,1987
SLV|39|0|-4,SLV,78.0,0.0,-16.0,0.164,0.138,-15.911,1.584,5.788,978
SI|46|1|2,SI,92.0,4.0,8.0,0.112,0.094,-15.823,0.496,-1.965,666
