exposure_bin,split,pitches,swings,whiff_pct,csw_pct
0,all,99926,46704,23.586844809866392,27.256169565478455
1-2,all,41228,19289,21.649644875317538,26.794896672164548
3-5,all,16913,8043,19.15951759293796,26.399810796428785
6-10,all,6501,3022,17.339510258107214,26.5343793262575
11-20,all,1417,703,20.483641536273115,27.66407904022583
21-40,all,19,10,20.0,21.052631578947366
0,more typical,61269,28413,23.513884489494245,26.58440646982977
0,more unusual,38657,18291,23.700180416598325,28.320873321778723
1-2,more typical,28113,13099,21.58180013741507,26.461067833386686
1-2,more unusual,13115,6190,21.793214862681744,27.510484178421656
3-5,more typical,11985,5645,18.901682905225865,25.96579057154777
3-5,more unusual,4928,2398,19.76647206005004,27.455357142857146
6-10,more typical,4730,2197,16.522530723714155,25.750528541226213
6-10,more unusual,1771,825,19.515151515151516,28.62789384528515
11-20,more typical,1055,514,20.428015564202333,27.20379146919431
11-20,more unusual,362,189,20.634920634920633,29.005524861878452
21-40,more typical,16,8,25.0,18.75
21-40,more unusual,3,2,0.0,33.33333333333333
