game_year,class,pitches,pitchers,whiff_pct,csw_pct,rv100,xwobacon,velo,ivb,hb_arm,share_of_sliders_pct
2021,loose,1721,125,36.005,31.261,0.358,0.359,86.837,-3.736,-1.597,1.25
2021,other_slider,134817,725,33.878,31.27,0.289,0.359,84.354,1.623,-6.623,98.15
2021,strict,820,60,40.802,33.049,1.529,0.34,87.003,-5.695,-0.616,0.6
2022,loose,1254,141,33.937,29.825,0.11,0.344,86.491,-3.457,-1.536,0.84
2022,other_slider,148168,713,32.655,30.648,0.222,0.353,84.334,1.696,-7.326,98.91
2022,strict,380,63,41.706,34.211,1.88,0.278,86.374,-5.567,-0.731,0.25
2023,loose,2239,158,38.753,33.274,0.34,0.348,87.088,-3.546,-1.048,1.39
2023,other_slider,157911,726,31.781,30.189,0.164,0.361,84.313,1.537,-7.72,97.9
2023,strict,1147,73,38.66,32.345,0.474,0.381,87.055,-5.693,-0.237,0.71
2024,loose,2288,165,37.854,31.993,0.597,0.378,87.066,-3.493,-1.335,1.43
2024,other_slider,156816,736,31.245,30.109,0.16,0.356,84.42,1.5,-7.928,97.99
2024,strict,934,75,36.403,32.762,1.156,0.325,86.943,-5.675,-0.398,0.58
2025,loose,2348,184,36.642,31.09,0.081,0.381,86.876,-3.669,-1.565,1.47
2025,other_slider,156749,751,30.909,29.818,0.08,0.359,84.841,1.539,-7.702,97.9
2025,strict,1015,81,34.884,28.67,0.435,0.357,86.996,-5.791,-0.423,0.63
