game_year,column,null_rate
2021,release_speed,0.0039
2022,release_speed,0.0031
2023,release_speed,0.0042
2024,release_speed,0.0037
2025,release_speed,0.0038
2026,release_speed,0.0037
2021,release_spin_rate,0.0081
2022,release_spin_rate,0.0057
2023,release_spin_rate,0.0117
2024,release_spin_rate,0.0095
2025,release_spin_rate,0.0064
2026,release_spin_rate,0.0057
2021,spin_axis,0.0081
2022,spin_axis,0.0058
2023,spin_axis,0.0117
2024,spin_axis,0.0095
2025,spin_axis,0.0064
2026,spin_axis,0.0057
2021,pfx_x,0.0039
2022,pfx_x,0.0031
2023,pfx_x,0.0042
2024,pfx_x,0.0037
2025,pfx_x,0.0041
2026,pfx_x,0.0037
2021,pfx_z,0.0039
2022,pfx_z,0.0031
2023,pfx_z,0.0042
2024,pfx_z,0.0037
2025,pfx_z,0.0038
2026,pfx_z,0.0037
2021,release_pos_x,0.0039
2022,release_pos_x,0.0031
2023,release_pos_x,0.0042
2024,release_pos_x,0.0037
2025,release_pos_x,0.0038
2026,release_pos_x,0.0037
2021,release_pos_z,0.0039
2022,release_pos_z,0.0031
2023,release_pos_z,0.0042
2024,release_pos_z,0.0037
2025,release_pos_z,0.0038
2026,release_pos_z,0.0037
2021,release_extension,0.0052
2022,release_extension,0.0041
2023,release_extension,0.0061
2024,release_extension,0.0055
2025,release_extension,0.0039
2026,release_extension,0.0048
2021,arm_angle,0.0418
2022,arm_angle,0.0084
2023,arm_angle,0.0134
2024,arm_angle,0.009
2025,arm_angle,0.0053
2026,arm_angle,0.0196
2021,plate_x,0.0039
2022,plate_x,0.003
2023,plate_x,0.0044
2024,plate_x,0.0038
2025,plate_x,0.0039
2026,plate_x,0.0038
2021,plate_z,0.0039
2022,plate_z,0.003
2023,plate_z,0.0044
2024,plate_z,0.0038
2025,plate_z,0.0039
2026,plate_z,0.0038
2021,delta_run_exp,0.0033
2022,delta_run_exp,0.0023
2023,delta_run_exp,0.0039
2024,delta_run_exp,0.0033
2025,delta_run_exp,0.0036
2026,delta_run_exp,0.0031
2021,estimated_woba_using_speedangle,0.7477
2022,estimated_woba_using_speedangle,0.7459
2023,estimated_woba_using_speedangle,0.7461
2024,estimated_woba_using_speedangle,0.7455
2025,estimated_woba_using_speedangle,0.745
2026,estimated_woba_using_speedangle,0.7459
2021,bat_speed,1.0
2022,bat_speed,1.0
2023,bat_speed,0.8929
2024,bat_speed,0.5629
2025,bat_speed,0.5352
2026,bat_speed,0.5379
