family,feature,game_year,n_pitchers,median,sd,sd_lo,sd_hi,iqr,iqr_lo,iqr_hi,robust_cv,robust_cv_lo,robust_cv_hi,mad,mad_lo,mad_hi
CH,release_speed,2021,194,85.3,3.1933383149150703,2.815647567136956,3.565502142668881,3.862499999999997,3.0,4.700000000000003,0.03302391559202823,0.026040983606557374,0.040458274647887246,2.816940000000008,2.2239,3.4470449999999935
CH,release_speed,2022,198,85.6,2.979944585535377,2.679034726929111,3.2584948161741307,3.8125,3.0249999999999915,4.6625000000000085,0.032908177570093435,0.026040222174288176,0.04078589989421266,2.8169399999999976,2.2239,3.4841099999999914
CH,release_speed,2023,180,85.7,3.082186597869185,2.783506777462553,3.367802446363166,4.224999999999994,3.5,5.0378125000000065,0.03632975495916,0.031138882628456672,0.04396081395348832,3.1134600000000123,2.6686799999999957,3.7806299999999955
CH,release_speed,2024,170,85.32499999999999,3.0059915224541935,2.671920796677065,3.3262408728868595,4.074999999999989,3.299687499999997,4.925312499999995,0.036055024904776155,0.02874564146322264,0.04257130518217181,3.076395000000025,2.4462899999999976,3.632370000000004
CH,release_speed,2025,181,86.5,3.274056408380093,2.8739838190919658,3.6644010333010395,3.8999999999999915,3.3000000000000114,4.549999999999997,0.0325657803468209,0.027487369640788094,0.03766529179404348,2.816940000000008,2.3721600000000125,3.261720000000004
CH,release_speed,2026,214,86.6,3.2932595720139206,2.9445535375010508,3.6002589141910004,4.099999999999994,3.299999999999997,4.799999999999997,0.03552419168591229,0.028313132274797658,0.041183333333333426,3.076395000000004,2.4462900000000083,3.558240000000008
CH,ivb,2021,194,7.2299999999999995,3.998408459615486,3.5749297717443826,4.414311498493816,5.205,4.199624999999999,6.120000000000002,0.529060580912863,0.40771500000000027,0.6515912624458462,3.8251079999999993,3.024504000000001,4.536756
CH,ivb,2022,198,6.36,3.9045664461552145,3.4559563851066564,4.355795632038118,5.385,4.799624999999999,5.970000000000001,0.6363990566037736,0.5195435897435895,0.7829460674157304,4.047498,3.4692839999999996,4.5367560000000005
CH,ivb,2023,180,5.550000000000001,3.684221528105554,3.3215141979156075,4.017822333611245,4.86,4.2299999999999995,5.760749999999996,0.6651664864864864,0.5479082349308302,0.8566331807228912,3.691674,3.113460000000001,4.4478
CH,ivb,2024,170,5.04,3.9149092671651724,3.497657608367135,4.292009409193607,5.16,4.365,6.42,0.7942499999999999,0.612003488372093,0.9772113811188808,4.003019999999999,3.11346,4.67019
CH,ivb,2025,181,4.199999999999999,3.9304471790909887,3.542005763193827,4.286936650441588,5.76,4.92,6.66,1.0166399999999998,0.8363384615384615,1.2248120914542724,4.269887999999998,3.5582400000000005,4.892579999999999
CH,ivb,2026,214,3.87,4.209681764783137,3.765079688035742,4.652727923324276,5.684999999999999,4.41,6.525374999999999,1.0918372093023259,0.8439415384615385,1.2434923185483868,4.225410000000001,3.11346,4.803623999999998
CH,hb_arm,2021,194,14.19,2.542773564170281,2.242271429158704,2.8344072867537577,3.24,2.6099999999999994,3.719999999999999,0.1661264270613106,0.1382084745762712,0.19605544447976278,2.357333999999997,1.9570319999999977,2.8032259499999967
CH,hb_arm,2022,198,14.52,2.221974742923746,1.975590546696045,2.4453864177129625,2.8499999999999996,2.3385,3.480000000000002,0.14703471074380142,0.12152459016393435,0.18073016528925623,2.1349439999999964,1.779119999999999,2.6242019999999964
CH,hb_arm,2023,180,15.0,2.363599636195492,1.9239066740113395,2.81668316617426,2.7900000000000027,2.3100000000000023,3.1500000000000004,0.1423296000000001,0.11582812499999993,0.15699007563025177,2.1349440000000017,1.779119999999999,2.312856000000003
CH,hb_arm,2024,170,14.64,2.6649036764195624,2.1133838791187736,3.1915199121221947,2.8499999999999996,2.16,3.5699999999999985,0.14582950819672133,0.10848292682926829,0.1822868852459017,2.1349440000000004,1.6012080000000013,2.6686799999999984
CH,hb_arm,2025,181,15.0,2.3778902855146096,2.0790148950114244,2.6400830298434306,3.0,2.2800000000000047,3.480000000000002,0.13046880000000002,0.11090314960629925,0.17267228915662633,1.9570320000000003,1.6901640000000007,2.5797239999999975
CH,hb_arm,2026,214,14.52,2.4641292152115155,2.1958711489546707,2.7336694652887092,3.2399999999999984,2.7600000000000016,3.7200000000000024,0.15928760330578534,0.14090826446280982,0.1923037656903765,2.312856000000003,2.0459880000000013,2.7576360000000015
CH,release_spin_rate,2021,194,1699.5,257.0838495838314,226.48028525296297,287.55866013755053,329.125,288.490625,379.50624999999997,0.14743124448367165,0.10856277403846153,0.1694735153382845,250.55939999999998,182.3412675,288.3657
CH,release_spin_rate,2022,198,1707.0,264.8502146198428,234.09729532920844,293.8217867025621,385.75,313.375,424.875,0.15221186291739894,0.13180408490319584,0.1815562919153589,259.82565,222.01008374999998,313.56989999999996
CH,release_spin_rate,2023,180,1738.5,263.45530663775367,232.86506081741345,293.07949219547794,367.0,309.496875,448.25,0.15265194132873167,0.1225556450446346,0.175067424689515,265.3854,210.89985,311.35526624999994
CH,release_spin_rate,2024,170,1784.75,272.9199559863031,241.74465317494807,302.96989758043463,385.875,332.36875,445.134375,0.16572556380445438,0.12936113307231412,0.18760410597961608,295.77869999999996,226.08723375,332.48231624999994
CH,release_spin_rate,2025,181,1819.5,298.77133567166396,263.37088193526495,333.88980587578277,413.0,355.0,476.51249999999993,0.17233849958779882,0.14611331822997586,0.1952430604530328,313.56989999999996,265.3854,352.8588
CH,release_spin_rate,2026,214,1736.5,313.9978882390972,282.1603791569055,344.845985205182,410.875,351.24375,488.1468749999999,0.1711841635473654,0.15038289790509596,0.20181172129405764,297.2613,260.1963,356.5653
CH,release_extension,2021,194,6.3,0.4167503966581004,0.3801881536096953,0.451268536116451,0.5999999999999996,0.4874999999999998,0.7000000000000002,0.07059999999999995,0.0470666666666667,0.08302559999999991,0.44477999999999973,0.29652000000000023,0.5189099999999994
CH,release_extension,2022,198,6.3,0.4086961069294762,0.36943092427946544,0.44284139115540877,0.5999999999999996,0.47499999999999964,0.7000000000000002,0.07059999999999995,0.0470666666666667,0.07059999999999995,0.44477999999999973,0.29652000000000023,0.444780000000001
CH,release_extension,2023,180,6.5,0.41746515668413986,0.37687082588605314,0.45802589969678703,0.5999999999999996,0.5,0.7000000000000002,0.06842769230769227,0.04633125000000003,0.0792229007633587,0.44477999999999973,0.29652000000000023,0.5189099999999994
CH,release_extension,2024,170,6.475,0.40969583685098837,0.36288337506219853,0.45127192652825676,0.5,0.39999999999999947,0.6750000000000007,0.06296756756756744,0.04561846153846157,0.07441621621621626,0.40771499999999916,0.29652000000000023,0.48184500000000025
CH,release_extension,2025,181,6.4,0.39104913898077553,0.35039543441410875,0.42823909176548,0.5,0.39999999999999947,0.6000000000000005,0.04633125000000003,0.04561846153846157,0.06949687500000015,0.29652000000000023,0.29652000000000023,0.444780000000001
CH,release_extension,2026,214,6.4,0.39400905224925326,0.346920537657454,0.44328763025015494,0.5,0.39999999999999947,0.5,0.04633125000000003,0.04561846153846157,0.06949687499999996,0.29652000000000023,0.29652000000000023,0.44477999999999973
CH,release_pos_z,2021,194,5.82,0.40308412621164236,0.3544993820722806,0.44713353053968224,0.5012499999999989,0.39749999999999996,0.5924999999999994,0.062411855670103,0.05094845360824746,0.07580756418705045,0.3632369999999995,0.29652000000000023,0.4410734999999998
CH,release_pos_z,2022,198,5.807499999999999,0.4618529528196186,0.38567296888184827,0.5415110268595241,0.5300000000000002,0.4400000000000004,0.6299999999999999,0.06765200172191135,0.057215025395178684,0.08112460146488579,0.39288900000000015,0.33358499999999947,0.4670190000000006
CH,release_pos_z,2023,180,5.765,0.4752950952087395,0.41884611103849256,0.5306642326151436,0.6499999999999995,0.5125000000000002,0.7624999999999993,0.07843764093668695,0.06657616580310875,0.09987769028871385,0.45219300000000023,0.38547599999999965,0.5746001624999998
CH,release_pos_z,2024,170,5.74,0.4642240690133433,0.4102284438399861,0.5162044582453639,0.5637500000000006,0.45124999999999993,0.6675624999999992,0.07232195121951203,0.05919847663019941,0.0867547598253275,0.41512799999999905,0.3409979999999993,0.4966709999999999
CH,release_pos_z,2025,181,5.74,0.44759650406155727,0.3829320222599658,0.5132006516497002,0.45999999999999996,0.39000000000000057,0.5800000000000001,0.05940731707317084,0.05049903930130989,0.07464479166666667,0.34099800000000063,0.2891070000000004,0.429954
CH,release_pos_z,2026,214,5.73,0.4343303822688244,0.3757353063077689,0.49621857124633556,0.4800000000000004,0.41999999999999993,0.5550000000000006,0.06468586387434554,0.054241463414634136,0.07244816753926685,0.37065,0.31134599999999996,0.41512799999999966
CH,release_side_arm,2021,194,1.9775,0.6461162034103348,0.5789166345815565,0.7101686177630279,0.94875,0.7425000000000004,1.0475624999999997,0.35987256637168136,0.27845182872720425,0.3948689452068032,0.711648,0.5485619999999998,0.7746584999999999
CH,release_side_arm,2022,198,1.8275000000000001,0.690460983260247,0.6112227255928607,0.7680669731555941,0.8750000000000002,0.76,1.0075,0.36710068399452805,0.2960883800577623,0.4051131065354605,0.6708765000000001,0.5337360000000001,0.7487129999999999
CH,release_side_arm,2023,180,1.8650000000000002,0.7251822150564231,0.6361132267573135,0.8097870384661703,0.9249999999999998,0.7900000000000003,1.0949999999999998,0.37561849865951713,0.31212148710265764,0.43464023166704807,0.7005284999999996,0.5819205000000003,0.8154299999999999
CH,release_side_arm,2024,170,1.89,0.7045479532880801,0.6212993642061687,0.7901070946033294,0.8799999999999999,0.7299999999999998,1.1076562499999993,0.353,0.28133194252705795,0.43179524072164943,0.6671699999999999,0.548562,0.8228430000000002
CH,release_side_arm,2025,181,2.0149999999999997,0.6843619352658075,0.6032871089480607,0.7580864113021331,0.8800000000000001,0.7300000000000002,1.0250000000000001,0.32374392059553386,0.25784347826086945,0.3836879396984924,0.6523440000000006,0.5337360000000001,0.7561259999999996
CH,release_side_arm,2026,214,1.895,0.6954445331593611,0.617941281429188,0.769293738279693,0.9175000000000002,0.7,1.0450312500000003,0.3481567282321898,0.2789712186379928,0.4102475396456059,0.6597569999999997,0.5189100000000001,0.7783649999999999
CH,arm_angle,2021,194,38.625,9.963819276140946,8.79563125039889,11.093394666452337,11.862499999999997,9.037187500000002,14.100000000000001,0.2082357281553397,0.171620150815513,0.26383502156411714,8.043104999999995,6.597570000000004,10.304069999999998
CH,arm_angle,2022,198,37.9,11.047167490592107,9.371450420118821,12.672070644013386,12.275000000000006,9.9996875,14.75,0.2376463060686016,0.19061999999999996,0.2977436038514444,9.006795,7.412999999999999,10.823906625000001
CH,arm_angle,2023,180,38.4,11.151131509337853,9.775208619652554,12.512788811654005,13.812499999999993,11.962499999999999,16.049999999999994,0.27412656250000006,0.22496325983717755,0.31847178335470866,10.526460000000002,8.747339999999998,12.121181624999993
CH,arm_angle,2024,170,38.075,11.713962030699326,10.340692415927494,13.143367321491109,14.150000000000006,11.587187500000006,16.900624999999994,0.27646644780039387,0.22275088187629433,0.33079027952021656,10.526459999999997,8.599079999999995,12.37970999999999
CH,arm_angle,2025,181,34.8,10.800328474189987,9.32111708353872,12.19034304030092,12.300000000000004,9.700000000000003,15.2,0.262011206896552,0.20265755395683452,0.3269683421765636,9.117990000000008,7.04235,11.416019999999993
CH,arm_angle,2026,214,37.125,10.538093636912183,9.217857388266626,11.728325706955987,12.212500000000006,10.650000000000006,13.800625,0.23961212121212122,0.20602677168674577,0.2787288,8.8956,7.78365,10.3782
CU,release_speed,2021,181,79.6,3.6064078475571844,3.198415943893904,4.010173295572767,4.549999999999997,3.5999999999999943,5.6000000000000085,0.04283894472361831,0.03369545454545449,0.05138185255198487,3.409980000000017,2.6686799999999957,4.07715
CU,release_speed,2022,162,79.35,3.389405712437782,3.0086807219891845,3.7421273262535872,4.0,3.5625,4.787812499999992,0.03783572778827975,0.03201673892786366,0.044927627378936026,3.0022649999999977,2.5574849999999913,3.5582399999999876
