family,game_year,n_pitchers,log_det,participation_ratio,pcs_90,entropy_nats
CH,2021,194,-1.8791844444157189,5.043705581474127,6.0,10.411916043429521
CH,2022,198,-2.216174461721953,4.204190726051042,6.0,10.243421034776405
CH,2023,180,-1.9260526140172893,4.270937040710253,6.0,10.388481958628736
CH,2024,170,-1.4928982494034502,4.40381198805001,6.0,10.605059140935657
CH,2025,181,-1.548504338606624,4.661067666297487,6.0,10.57725609633407
CH,2026,214,-1.351362277534974,4.871476647459415,6.0,10.675827126869894
CU,2021,181,-1.5610196498856748,5.105638969561798,6.0,10.570998440694543
CU,2022,162,-2.1046421913117084,4.524984432085826,6.0,10.299187169981527
CU,2023,150,-1.5447802124192058,4.669225882389144,6.0,10.579118159427779
CU,2024,143,-1.8229369687902202,4.761274833271644,6.0,10.440039781242271
CU,2025,153,-2.1722144609764955,4.604642472143361,6.0,10.265401035149134
CU,2026,156,-2.0930015690079653,4.9211753661761275,6.0,10.305007481133398
FC,2021,115,-1.0296065711502436,5.025114637519205,6.0,10.83670498006226
FC,2022,120,-1.6255839092939985,5.082120640965133,6.0,10.538716310990383
FC,2023,139,-1.4424264932610433,4.949362139482864,6.0,10.63029501900686
FC,2024,139,-1.140403896787864,4.982140664211964,6.0,10.78130631724345
FC,2025,135,-1.818825481055317,5.105947528081562,6.0,10.442095525109723
FC,2026,149,-2.2957240180696967,5.315183996017421,6.0,10.203646256602532
FF,2021,442,-1.771551809033354,4.116575633296358,6.0,10.465732361120704
FF,2022,413,-1.855988179874551,3.5499462454268502,6.0,10.423514175700106
FF,2023,431,-2.076279761993479,3.9371055248181897,6.0,10.313368384640642
FF,2024,416,-1.8727179024152036,3.884452212956109,6.0,10.41514931442978
FF,2025,421,-1.9242389961376465,3.995267094969041,6.0,10.389388767568558
FF,2026,416,-2.570340830598272,4.128782053448598,6.0,10.066337850338245
FS,2023,40,-2.8177125796162077,3.888423529795031,5.0,9.942651975829278
FS,2024,52,-1.54939180313673,3.6520632301378813,5.0,10.576812364069017
FS,2025,63,-1.2516979863788624,3.924331127451036,5.0,10.72565927244795
FS,2026,48,-0.5657887440025642,4.0158184304466005,5.0,11.0686138936361
SI,2021,216,-0.01647440953005397,3.4219721024950345,5.0,11.343271060872354
SI,2022,238,-0.4087129449145579,3.1552200925285514,5.0,11.147151793180102
SI,2023,236,-0.5717241837139593,3.3988067917763836,5.0,11.0656461737804
SI,2024,243,-0.48160075259036095,3.794441561149714,6.0,11.110707889342201
SI,2025,244,-1.0877282927390828,3.783412506700962,6.0,10.80764411926784
SI,2026,277,-1.7005015967085846,3.6893520559454234,6.0,10.50125746728309
SLV,2021,329,-1.1508025527367116,3.9507106275533443,6.0,10.776106989269026
SLV,2022,339,-1.595992233381422,3.4003823483010645,5.0,10.55351214894667
SLV,2023,371,-1.175720502608522,3.829476901380904,6.0,10.763648014333121
SLV,2024,383,-1.3184062333765583,3.955002605602243,6.0,10.692305148949103
SLV,2025,375,-1.6889771737390302,4.151712779223665,6.0,10.507019678767866
SLV,2026,383,-1.7539989089327155,4.009277611805873,6.0,10.474508811171024
