family,game_year,n_pitchers,mean_nn_dist,median_nn_dist,mean_k10_dist
CH,2021,194,1.4684066996843101,1.39346406493318,1.9547818748936145
CH,2022,198,1.4196331117111005,1.3242469634030352,1.914516995780745
CH,2023,180,1.5060908113063731,1.443376528260563,2.0054156090722906
CH,2024,170,1.5493093669371656,1.4827172829355153,2.054959547799282
CH,2025,181,1.527413427457621,1.4336989502281428,2.021267382979434
CH,2026,214,1.4910236599682778,1.432080723912901,1.9781256424772438
CU,2021,181,1.5685401098164107,1.4792134411369937,2.0626902583353695
CU,2022,162,1.5351402500274023,1.4264034061718118,2.0378200704076805
CU,2023,150,1.644432874813129,1.5640812481246307,2.137172680148847
CU,2024,143,1.5973435832606595,1.5712293982576964,2.0999009403521467
CU,2025,153,1.5254203972268483,1.469067637918381,2.04779616215591
CU,2026,156,1.52920645110193,1.4820770112691122,2.036327836214741
FC,2021,115,1.7162574519774045,1.6245690792723384,2.259813514681517
FC,2022,120,1.6509137587632596,1.5291008724436002,2.1514586230717123
FC,2023,139,1.6058654198832796,1.4843455170498774,2.1203909883726104
FC,2024,139,1.672572548160064,1.5745930883203263,2.157756863509914
FC,2025,135,1.6371646323635256,1.5457063752944105,2.1008427207819445
FC,2026,149,1.529939975235095,1.4107098765991821,2.0171059612030993
FF,2021,442,1.3616006949532808,1.2776448856650306,1.786080842305036
FF,2022,413,1.363382032227673,1.2704265871398273,1.7968053670847377
FF,2023,431,1.3629978777852616,1.291766119731589,1.7616836517312142
FF,2024,416,1.3760749311872746,1.2677658004633579,1.7813162738681687
FF,2025,421,1.3589595229539446,1.2555294210402441,1.7783041307499587
FF,2026,416,1.3162574938986586,1.2493502874305618,1.714252834422128
FS,2021,24,1.903600430013072,1.640521760093848,2.66535855561858
FS,2022,26,1.9109190790174364,1.8750959467803339,2.6392546255945746
FS,2023,40,1.7469091799064,1.6915334644903854,2.507883899479822
FS,2024,52,1.9166552149414324,1.8788525874572861,2.549614012330545
FS,2025,63,1.87865064673577,1.791911002160636,2.496531302039618
FS,2026,48,1.9863413313779892,1.932713304300437,2.6882529485654865
SI,2021,216,1.532587813312112,1.417438419130769,2.067632272088855
SI,2022,238,1.515687248795715,1.3697833321112798,2.033551069012648
SI,2023,236,1.5008121023688017,1.326805214832009,1.990895402644296
SI,2024,243,1.4756685827049478,1.2854424030139855,1.9546381148728835
SI,2025,244,1.4528713096396766,1.2903338079241413,1.9110865532648686
SI,2026,277,1.3484203850151975,1.2440108186976642,1.810947135386581
SLV,2021,329,1.4095751303251522,1.3122447096845313,1.8528400188000964
SLV,2022,339,1.3939438154200925,1.3131642819602243,1.834620892651213
SLV,2023,371,1.423518153586408,1.3366723097406654,1.8725703499553246
SLV,2024,383,1.3998783188153143,1.321371585664217,1.8310095037958107
SLV,2025,375,1.362521153497756,1.2640605248140786,1.79204491335676
SLV,2026,383,1.3672018884846031,1.2713802121618845,1.7903880485129453
