family,game_year,n_newcomers,n_established,newcomer_dist,established_dist,pct_further
CH,2022,54,144,2.656653747343265,2.6492110592117184,0.2809397954786297
CH,2023,39,141,2.623247778468026,2.760884666682177,-4.985245848011188
CH,2024,28,142,2.579968838082081,2.8299150723250945,-8.832287466409882
CH,2025,26,155,2.823433298805671,2.6836256212125504,5.209656536590623
CH,2026,32,182,2.7463087716588124,2.75139727905026,-0.1849426627769324
CU,2022,42,120,2.7186218893544245,2.748102820912002,-1.0727739636682831
CU,2023,28,122,2.6631256915174606,2.8049366406326723,-5.055763009435587
CU,2024,23,120,2.6052283958223015,2.7558602163016475,-5.465873036241775
CU,2025,27,126,2.283221033870755,2.8164761565747076,-18.933415127947594
CU,2026,21,135,2.4717101611550114,2.664081941849582,-7.22094083040904
FC,2022,28,92,2.6738549071382764,2.6419043799151116,1.2093748534604876
FC,2023,28,111,2.6196806268733934,2.683032630785771,-2.361208849473584
FC,2024,27,112,2.5494544526813177,2.8012554549187816,-8.988862540020094
FC,2025,23,112,2.3615161745620825,2.6919590564933196,-12.275182311342004
FC,2026,21,128,2.639462827208782,2.505163211153402,5.360912832244047
FF,2022,136,277,2.84475945042089,2.7846737224471365,2.1577295569461308
FF,2023,106,325,2.480110557919472,2.7767370035489125,-10.682554568557478
FF,2024,91,325,2.5134436079722513,2.8291985602080536,-11.160579419091121
FF,2025,98,323,2.8093572221179657,2.7542269874898575,2.0016590817866
FF,2026,90,326,2.7821036469335323,2.644120452962784,5.21849123084146
FS,2023,10,30,2.6967968309002246,2.538632729908017,6.2302868441288295
FS,2024,10,42,2.865976377444727,2.783200853255407,2.974112489671743
FS,2025,11,52,2.42910402628529,2.905199768020769,-16.387710992412387
SI,2022,70,168,3.034155807772434,3.000260377193937,1.1297496322701939
SI,2023,50,186,2.6716353925343928,2.914066191874529,-8.319330563462191
SI,2024,31,212,2.5237981498841737,2.870647151799135,-12.082606589165056
SI,2025,35,209,2.3416501030137216,2.7665627305617573,-15.358864733269794
SI,2026,39,238,2.5980912105152982,2.713410362873622,-4.24997095670393
SLV,2022,106,233,2.880111639401912,2.8523482683705477,0.9733513729452303
SLV,2023,80,291,2.812153005471358,2.8771505174476255,-2.259093209830676
SLV,2024,84,299,2.582531099013331,2.9056545199079284,-11.120503786005365
SLV,2025,79,296,2.6188668635059837,2.8017586007730193,-6.527747865807387
SLV,2026,62,321,2.555181980943195,2.79021234861808,-8.423386406102384
