pitch_type,2021,2022,2023,2024,2025,2026,max_abs_yoy_change
,0.388,0.303,0.445,0.382,0.388,0.376,0.142
CH,11.237,11.329,10.585,10.207,10.078,11.134,1.056
CS,0.02,0.018,0.011,0.009,0.064,0.023,0.055
CU,7.314,7.213,6.617,6.081,6.509,6.338,0.596
EP,0.014,0.065,0.071,0.071,0.146,0.137,0.075
FA,0.141,0.18,0.169,0.084,0.126,0.117,0.085
FC,7.265,7.464,8.039,8.272,7.739,7.868,0.575
FF,35.025,33.234,31.928,31.468,31.531,30.458,1.791
FO,0.0,0.0,0.11,0.028,0.121,0.071,0.11
FS,1.578,1.634,2.223,3.083,3.292,3.219,0.86
KC,2.344,2.224,2.09,1.681,1.769,1.622,0.409
KN,0.015,0.006,0.004,0.172,0.025,0.037,0.168
PO,0.006,0.005,0.005,0.006,0.007,0.005,0.002
SC,0.0,0.0,0.013,0.015,0.001,0.0,0.014
SI,15.41,15.145,15.128,15.798,15.558,16.559,1.001
SL,16.703,16.571,15.7,14.718,14.443,13.305,1.138
ST,2.133,4.159,6.426,7.434,7.666,8.291,2.267
SV,0.407,0.451,0.436,0.49,0.536,0.436,0.1
UN,0.0,0.0,0.0,0.0,0.002,0.002,0.002
