outcome,decile,n,mean,lo,hi
whiff_pct,1,909,23.219647073513258,22.65282040114737,23.772217304315785
whiff_pct,2,926,23.61547146474706,23.090275746653457,24.182034842302013
whiff_pct,3,921,23.746214863259976,23.205649558985403,24.31118662239247
whiff_pct,4,932,23.85347562870588,23.289106106012902,24.41239386033531
whiff_pct,5,929,23.753837873924855,23.19232097009964,24.31555511973172
whiff_pct,6,918,23.907070386790696,23.342518265376565,24.5074803316146
whiff_pct,7,929,23.85477374495202,23.315273733929445,24.399058212267363
whiff_pct,8,924,24.07510103795198,23.517938164156046,24.64041428144387
whiff_pct,9,923,24.620015610196564,24.050219586059335,25.24691020957945
whiff_pct,10,944,24.38401789468887,23.842898684799813,24.921619949867903
csw_pct,1,909,27.418191810886157,27.19958268574929,27.648354048300668
csw_pct,2,926,27.57895768329575,27.357924581311366,27.803051301445972
csw_pct,3,921,27.742902347610784,27.5366373388136,27.94731763685787
csw_pct,4,932,27.63131820052306,27.427279659677644,27.85402769928716
csw_pct,5,929,27.82542741415566,27.612041736692547,28.027350343703066
csw_pct,6,918,27.776022004073553,27.545469047513652,28.002558666874997
csw_pct,7,929,27.99766582853334,27.776253807485777,28.21981913281716
csw_pct,8,924,27.863047339464725,27.63828476643851,28.085060325151055
csw_pct,9,923,28.15934933684246,27.940108232135785,28.38335696144999
csw_pct,10,944,28.224679216872612,28.00632403928583,28.439716253749094
rv100,1,909,0.09917226252158026,0.07160932148609847,0.12716217635753782
rv100,2,926,0.12959662192039972,0.10482787574557062,0.15404075470960668
rv100,3,921,0.14618248383400304,0.12138983944475584,0.17259234975325802
rv100,4,932,0.13279174859084955,0.10406699723212483,0.15928801090159467
rv100,5,929,0.15995059777223739,0.13582443385702683,0.18411165373122967
rv100,6,918,0.14621203630945964,0.11769292098829646,0.1729678549120389
rv100,7,929,0.15254795229638823,0.1289191412414604,0.17486617803060417
rv100,8,924,0.1533318757715767,0.13196204568456948,0.17526477776496335
rv100,9,923,0.15804717976086452,0.13281226997481627,0.18372934203549116
rv100,10,944,0.16928565712043941,0.1422502897005688,0.19671871494403684
xwobacon,1,909,0.31301192602166455,0.31057162182792775,0.31548697794554037
xwobacon,2,926,0.31297926828419975,0.3105067644366399,0.31542579759540973
xwobacon,3,921,0.31268766571541406,0.31030245993469724,0.31520758271545707
xwobacon,4,932,0.3111001246399395,0.30848545130794464,0.3135751106732931
xwobacon,5,929,0.3117273747151013,0.3091539183095259,0.31427715430699943
xwobacon,6,918,0.3109394992536545,0.3084333164540067,0.3135499968143051
xwobacon,7,929,0.31065626894974824,0.3080995446004617,0.31307020971878396
xwobacon,8,924,0.3105790886404621,0.3081861193929691,0.31301906590744494
xwobacon,9,923,0.30973322780672424,0.30699744007555,0.31253981337376235
xwobacon,10,944,0.3068904988286021,0.30438625065175895,0.30937949384202185
