cell_id,family,velo_lo,ivb_lo,hb_lo,usage_start_pct,usage_end_pct,usage_change_pct_rel,rv100_rel_end,csw_rel_end,pitches_end
FF|45|4|0,FF,90.0,16.0,0.0,0.518,0.195,-62.313,0.483,1.228,1044
FF|46|5|1,FF,92.0,20.0,4.0,0.411,0.181,-55.997,1.995,2.793,966
FF|47|5|1,FF,94.0,20.0,4.0,0.365,0.181,-50.512,2.091,4.793,965
CH|42|2|4,CH,84.0,8.0,16.0,0.215,0.112,-47.68,0.57,0.164,601
FF|47|5|2,FF,94.0,20.0,8.0,0.189,0.1,-46.762,0.138,4.347,537
CH|42|2|3,CH,84.0,8.0,12.0,0.36,0.193,-46.566,1.305,0.087,1029
FF|45|4|1,FF,90.0,16.0,4.0,0.912,0.508,-44.254,0.056,0.222,2717
CH|41|2|3,CH,82.0,8.0,12.0,0.24,0.141,-41.331,0.053,0.632,753
SI|45|2|4,SI,90.0,8.0,16.0,0.398,0.235,-41.051,0.454,2.756,1255
SLV|42|1|-2,SLV,84.0,4.0,-8.0,0.316,0.19,-39.862,0.416,2.728,1015
FF|45|3|0,FF,90.0,12.0,0.0,0.284,0.175,-38.502,0.42,-1.242,935
FF|47|4|0,FF,94.0,16.0,0.0,0.917,0.592,-35.404,0.16,-1.571,3166
SI|47|3|4,SI,94.0,12.0,16.0,0.194,0.127,-34.529,0.251,0.416,679
SLV|41|1|-2,SLV,82.0,4.0,-8.0,0.17,0.112,-33.934,0.473,2.16,601
SLV|43|1|-2,SLV,86.0,4.0,-8.0,0.423,0.286,-32.432,0.79,2.561,1526
SI|46|2|4,SI,92.0,8.0,16.0,0.687,0.492,-28.427,0.505,0.398,2627
FF|46|4|1,FF,92.0,16.0,4.0,1.975,1.443,-26.911,0.112,-0.769,7714
FF|48|5|1,FF,96.0,20.0,4.0,0.155,0.117,-24.816,2.569,3.213,623
FF|48|4|3,FF,96.0,16.0,12.0,0.218,0.169,-22.144,0.577,3.263,905
CH|42|1|3,CH,84.0,4.0,12.0,0.37,0.293,-20.853,0.428,-3.226,1565
